ID,LABEL,TRACK_ID,TRACK_NAME,TRACK_VISIBLE,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
ID,Label,Track ID,Track name,Track visibility,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID,Label,Track ID,Track name,Track visibility,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
2571,ID2571,ø,ø,0,206.0,33.89144471347861,456.37651331719127,0.0,1.0,1,8.107465170875098,1,ø,5975.699029126214,5955.0,5212.0,6959.0,1230994.0,329.51729174662205,6472.063106796117,6557.0,4934.0,7659.0,1333245.0,607.1523141547528,0.0037250483520961243,0.1346039033155357,0.17164605924664636,3.123291255078447,0.041882655877712345,0.04281557065591797,10.0631886876718,6.757124303297784,0.2640162223536344,1.4892709140722047,206.50000000000003,55.73957150697383,0.8352234292592547,0.9604651162790699,3.8788554712046417
2556,ID2556,ø,ø,0,978.0,558.155924978687,188.7992327365729,0.0,1.0,1,17.639385299512437,1,ø,6031.707267144319,6027.0,5072.0,7040.0,5892978.0,330.7081297587465,11530.962128966223,11204.0,7841.0,16819.0,1.126575E7,2015.3744708578674,0.0027998355929657183,0.10184592491519415,0.30638518372534224,2.6837144338960126,0.10035849619175981,-0.07130928982301546,25.609480113030965,12.322518789708813,-0.8026093510540963,2.0782666717797014,977.5000000000003,125.55501311155719,0.7792171717794563,0.9784784784784788,4.015833281996539
2574,ID2574,ø,ø,0,761.0,361.550505050505,478.2437417654809,0.0,1.0,1,15.543397428281152,1,ø,6117.848684210527,6109.0,4658.0,7558.0,4649565.0,440.6053501378206,33508.36052631579,32830.0,17535.0,50492.0,2.5466354E7,8192.59214242611,0.015168583422405487,0.41494049026597923,0.48936846882463997,2.6877920721200987,0.09787110072802173,-0.0011882947213172677,20.765773595759974,11.943729646516617,2.01644959706156,1.7386339284577077,759.0,110.57623982418916,0.780059993077482,0.9699680511182107,4.013663228038877
2595,ID2595,ø,ø,0,135.0,518.7153284671533,290.6557177615572,0.0,2.0,2,6.6036697681803656,1,ø,6050.131386861314,6064.0,5368.0,7335.0,828868.0,359.4556918109218,15282.182481751825,15084.0,9613.0,21721.0,2093659.0,3092.8933774698307,0.0014697194878501416,0.049402174704613624,0.45866828866256526,3.107367375072559,0.09916339760630055,0.01414551389905986,7.374983964415385,6.290424621166301,1.7135967679405533,1.1724143294873466,137.0,43.142806756935315,0.9249401668307682,0.9856115107913669,3.6859387328182103
2600,ID2600,ø,ø,0,648.0,27.469743987587275,328.54266873545384,0.0,2.0,2,14.32308352434814,1,ø,6193.186046511628,6190.0,5185.0,7141.0,3994605.0,312.2054230831255,13958.243410852714,13948.0,9540.0,17813.0,9003067.0,1913.825826229657,0.005179088249167889,0.20441536938743843,0.29241098351742983,3.3002846054863393,-0.3366141496539175,-0.042922506234058785,22.704787159210923,9.2930509337939,3.0013489199495744,2.4432005507088794,644.5000000000002,108.63665260204122,0.6862463302943252,0.9612229679343777,4.279222954008248
2602,ID2602,ø,ø,0,551.0,272.80275507114743,343.4545867393279,0.0,2.0,2,13.23743148591058,1,ø,6105.391621129326,6121.0,4873.0,7355.0,3351860.0,396.4105710984151,6928.619307832422,6982.0,4225.0,9345.0,3803812.0,907.446181303494,-0.0014255217863768435,-0.04397356659485722,0.20278403559202166,2.574553520845097,0.04968461323922837,0.039529485321648836,15.25261850436405,11.720881447418776,2.696635176572996,1.301320090369402,550.5,88.590985132497,0.88143060337211,0.9743362831858408,3.7758164082804146
2609,ID2609,ø,ø,0,557.0,435.6270125223614,377.4010137149672,0.0,2.0,2,13.339236349084565,1,ø,6053.109123434705,6058.0,4592.0,7353.0,3383688.0,385.26884516245866,10333.627906976744,10004.0,6708.0,15144.0,5776498.0,1824.7711923168376,0.007983534750859764,0.24887793222845123,0.3542132068947329,2.9624573319736474,-0.006540506693869887,0.13333675060422162,22.237762594274223,8.533025096566032,-1.161112571177097,2.606081939595305,558.9999999999998,111.6856964231984,0.5631532031369633,0.8958333333333333,4.723801640831543
2612,ID2612,ø,ø,0,269.0,573.2026022304833,396.6722428748451,0.0,2.0,2,9.25339718068125,1,ø,6075.92962962963,6086.0,5210.0,7068.0,1640501.0,346.55359833161583,17436.4,16076.0,9808.0,29828.0,4707828.0,5379.650702719593,0.013411251915568871,0.4640405327974387,0.41441313825413084,1.8992842843397693,-0.08961320723494882,0.11363663234009543,11.264699432537073,8.062810393310594,-0.2436828270037112,1.3971182358303953,269.0,62.54504930773564,0.864124394458347,0.9658886894075404,3.8134389600801017
2581,ID2581,ø,ø,0,1391.0,526.4749580637431,193.9267912772586,0.0,2.0,2,21.042078121745785,1,ø,6109.012203876526,6112.0,4963.0,7563.0,8509854.0,391.4569701479272,10807.910265613784,10336.0,6414.0,17178.0,1.5055419E7,2412.5669733100294,0.004669829455380516,0.14507568096129494,0.345137648706701,2.298888752661507,-0.5081734321616035,-0.29351953524394503,33.17518649828833,14.233231514158572,0.4494997287283298,2.3308260295834553,1390.9999999999995,160.99613053078093,0.674382229616457,0.9616315243691667,4.316700057447818
2615,ID2615,ø,ø,0,251.0,518.8360599863668,410.04124062713015,0.0,2.0,2,8.82194803724987,1,ø,6129.526748971193,6127.0,5276.0,7150.0,1489475.0,340.1576115976489,11990.024691358025,11552.0,8276.0,17794.0,2913576.0,2102.610469038853,0.020445415370467478,0.7220759929270214,0.3489329505789867,2.95014165791222,-0.011909373614706023,0.04647126466703776,9.229038625432729,8.739572691232624,0.35996388939097995,1.0560057054838765,244.5,57.560737791355315,0.9273336594015696,0.9839034205231388,3.6811788673071892
